Channel protein,Gene,mRNA average counts/cell,Ion selectivity,Endogenous activators and key modulators,Key properties,Key references,Conductance Value,Mutation Effects Studies
KNa1.2,Kcnt2,5.87,K+,"Intracellular Na+, Cl-","Maintains resting Vm; sensitive to cell volume changes; inactivated by ADP/ATP","Bhattacharjee et al., 2003; Tejada et al., 2014","80-100 pS (Joiner et al., 1998)","Mutations associated with epileptic encephalopathy (Barcia et al., 2012)"
KCa2.3,Kcnn3,1.81,K+,"Intracellular Ca2+","Hyperpolarization in response to Ca2+ elevation","Taylor et al., 2003; Adelman et al., 2012","~10 pS (Vergara et al., 1998)","Mutations linked to ataxia (Miller et al., 2008)"
TRPC1,Trpc1,16.04,"Na+, K+, Ca2+",n.d.,"Store-operated Ca2+ entry with STIM1 and Orai1","Huang et al., 2006; Cheng et al., 2008","~17 pS (Mio et al., 2009)","No major mutations reported (altered expression noted in disease; Wu et al., 2015)"
TRPC3,Trpc3,266.99,"pCa2+/pNa+: Gq signaling, DAG 1.6","Facilitates Ca2+ entry; depolarizes Vm","Xi et al., 2009; Kochukov et al., 2014","~80 pS (Nilius et al., 2004)","Mutations linked to cerebellar ataxia"
Orai1,Orai1,22.88,Ca2+,"ER Ca2+ depletion","Store-operated Ca2+ entry; associates with STIM1","Prakriya and Lewis, 2015","10-25 fS (Lis et al., 2007)","Mutations cause SCID (Feske et al., 2006)"
Orai3,Orai3,99.94,,,,,,No well-established mutation effects
CaCC (TMEM16A),Ano1,329.91,Cl-,"Intracellular Ca2+","Membrane depolarization in response to increased Ca2+; CaCC currents in pericytes","Sakagami et al., 1999; Hashitani et al., 2018","~8 pS (Qu et al., 2003)","Altered expression noted in cancers (Kunzelmann et al., 2012)"
ClC-2,Clcn2,19.95,Cl-,"Hyperpolarization, arachidonic acid","Repolarizes Vm; sensitive to intracellular ATP/ADP","Nilius and Droogmans, 2003; Stolting et al., 2013; Bi et al., 2014","2-3 pS (Estévez et al., 2001)","Mutations cause leukoencephalopathy (Depienne et al., 2013)"
ASIC2,Asic2,4.52,"pNa+/pCa2+: 20; pNa+/pK+: 10; Na+, K+, Ca2+","Extracellular H+","Activated by acidification","Gannon et al., 2008; Sherwood et al., 2012","~14 pS (Waldmann et al., 1997)","Mutations not well characterized; potential role in pain (Price et al., 2000)"
Nav1.2,Scn2a,3.02,Na+,Depolarization,"Mediates Na+ influx during depolarization; expressed in perimitral periods","Yu and Catterall, 2003; Lee-Kwon et al., 2007","~15 pS (Sakmann, 1984)","Mutations associated with epileptic encephalopathy and autism (Sanders et al., 2018)"
Nav1.3,Scn3a,1.53,Na+,,,"~15 pS (Sakmann, 1984)","Mutations linked to developmental epilepsies (Meisler et al., 2010)"
P2X1,P2rx1,10.53,"Na+, K+, Ca2+",ATP,"Local ATP sensor","Khakh et al., 2001","~15 pS (Hattori & Gouaux, 2012)","Mutations not well characterized; KO affects platelet function (Oury et al., 2005)"
P2X4,P2rx4,23.6,,,,,,"~10 pS (Kawate et al., 2009)","Variants linked to altered alcohol response (Tsuda et al., 2003)"
Piezo1,Piezo1,2.09,"Na+, K+, Ca2+, Mg2+",Mechanically activated,"Senses and couples shear stress with cation entry","Coste et al., 2010; Li et al., 2014","~30 pS (Coste et al., 2012)","Gain-of-function mutations cause hereditary xerocytosis (Andolfo et al., 2013)"
TPC1,Tpcn1,36.44,"Na+, K+, Ca2+","Phosphatidyl (3,5) inositol bisphosphate","Located on endosomal/lysosomal membranes; NAADP-induced Ca2+ release","Calcraft et al., 2009; Pitt et al., 2016","Variable; ~15-20 pS in some reports (Wang et al., 2012)","No common mutations reported"
TPC2,Tpcn2,6.01,--,--,"Endosomal/lysosomal channel",--,N/A,"Variants linked to pigmentation (Schieder et al., 2014)"
